Year,USD,AUD,CAD,CHF,CNY,EUR,GBP,INR,JPY
2009,+23.4,-3.0,+5.9,+20.1,+23.6,+20.7,+12.7,+19.3,+26.8
2010,+29.5,+13.5,+22.3,+16.7,+24.9,+38.8,+34.3,+23.7,+13.0
2011,+10.1,+10.2,+13.5,+11.2,+5.9,+14.2,+10.5,+31.1,+4.5
2012,+7.0,+5.4,+4.3,+4.2,+6.2,+4.9,+2.2,+10.3,+20.7
2013,-28.3,-16.2,-23.0,-30.1,-30.2,-31.2,-29.4,-18.7,-12.8
2014,-1.5,+7.7,+7.9,+9.9,+1.2,+12.1,+5.0,+0.8,+12.3
2015,-10.4,+0.4,+7.5,-9.9,-6.2,-0.3,-5.2,-5.9,-10.1
2016,+9.1,+10.5,+5.9,+10.8,+16.8,+12.4,+30.2,+11.9,+5.8
2017,+13.6,+4.6,+6.0,+8.1,+6.4,-1.0,+3.2,+6.4,+8.9
2018,-2.1,+8.5,+6.3,-1.2,+3.5,+2.7,+3.8,+6.6,-4.7
2019,+18.9,+19.3,+13.0,+17.1,+20.3,+22.7,+14.2,+21.6,+17.7
2020,+24.6,+13.6,+22.2,+14.0,+16.9,+14.4,+20.9,+27.9,+18.5
2021,-3.5,+2.2,-4.1,-2.0,-6.1,+2.9,-2.5,-1.6,+7.5
2022,-0.3,+6.5,+6.9,+1.0,+8.3,+6.0,+11.8,+10.7,+13.4
2023,+12.8,+12.6,+9.9,+2.4,+15.7,+8.7,+6.6,+13.4,+21.6
